from,to,weight,season
Mainz,1,50,2021
Stgt_II,42,,2021
Iwata,37,,2021
Turin,32,15,2021
Monaco,8,17,2021
Sandhausen,28,,2021
Istanbul,34,,2021
Paderborn,22,25,2021
Lissabon,18,,2022
Wolfsburg,17,,2021
Vejle,19,45,2021
Stgt_U19,50,,2022
Stgt_II,44,,2021
1,Deutschland,,
42,Deutschland,,
37,Japan,,
32,Frankreich,,
32,Komoren,,
8,Frankreich,,
8,Martinique,,
28,Ghana,,
28,Daenemark,,
34,Tuerkei,,
22,Deutschland,,
18,Portugal,,
17,Aegypten,,
17,Kanada,,
19,Daenemark,,
19,Afghanistan,,
50,Frankreich,,
50,Kamerun,,
44,Niederlande,,
44,Sierra_Leone,,
